Treebank,Encoding,Language Model,In training data,Random,Task,UAS,LAS,CLAS,MLAS,BLEX,POS,1-deptag,Arc,1-plane,2-plane,Deprel
UD_Guajajara-TuDeT,rel-pos,bert-base-multilingual-cased,False,False,single,47.06,23.53,15.65,1.17,0.0,64.05,45.88,nan,nan,nan,nan
UD_Guajajara-TuDeT,rel-pos,bert-base-multilingual-cased,False,True,multi,45.71,29.58,25.06,2.63,0.0,64.18,nan,60.92,nan,nan,60.92
UD_Guajajara-TuDeT,rel-pos,bert-base-multilingual-cased,False,True,single,47.73,23.87,15.32,1.58,0.0,65.23,44.58,nan,nan,nan,nan
UD_Guajajara-TuDeT,rel-pos,bert-base-multilingual-cased,False,False,multi,42.02,24.87,22.17,1.93,0.0,63.92,nan,55.95,nan,nan,61.83
UD_Guajajara-TuDeT,rel-pos,xlm-roberta-base,False,True,single,47.39,25.04,15.6,1.15,0.0,65.1,44.05,nan,nan,nan,nan
UD_Guajajara-TuDeT,rel-pos,xlm-roberta-base,False,True,multi,45.71,28.91,25.16,2.29,0.0,66.27,nan,60.0,nan,nan,58.82
UD_Guajajara-TuDeT,rel-pos,xlm-roberta-base,False,False,single,41.51,21.85,20.63,0.0,0.0,43.92,13.46,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,rel-pos,bert-base-multilingual-cased,False,True,single,18.49,9.18,6.87,0.0,0.0,47.15,31.36,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,rel-pos,bert-base-multilingual-cased,False,True,multi,23.21,7.96,6.97,0.0,0.0,47.5,nan,45.53,nan,nan,38.56
UD_Guajajara-TuDeT,rel-pos,xlm-roberta-base,False,False,multi,40.17,19.66,18.05,1.43,0.0,57.52,nan,42.35,nan,nan,41.44
UD_Skolt_Sami-Giellagas,rel-pos,bert-base-multilingual-cased,False,False,single,20.92,10.39,6.98,0.0,0.0,52.26,32.29,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,rel-pos,bert-base-multilingual-cased,False,False,multi,25.78,7.96,5.02,0.0,0.0,51.45,nan,48.2,nan,nan,42.28
UD_Skolt_Sami-Giellagas,rel-pos,xlm-roberta-base,False,True,single,19.7,10.93,7.42,0.0,0.0,48.9,29.97,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,rel-pos,xlm-roberta-base,False,True,multi,29.28,8.23,8.06,0.0,0.0,48.43,nan,40.42,nan,nan,37.75
UD_Skolt_Sami-Giellagas,rel-pos,xlm-roberta-base,False,False,single,13.23,3.37,4.24,0.0,0.0,39.14,5.46,nan,nan,nan,nan
UD_Welsh-CCG,rel-pos,bert-base-multilingual-cased,True,True,single,52.32,29.36,17.61,0.67,0.0,66.33,40.54,nan,nan,nan,nan
UD_Welsh-CCG,rel-pos,bert-base-multilingual-cased,True,True,multi,52.58,29.5,17.05,0.53,0.0,66.44,nan,56.67,nan,nan,49.97
UD_Skolt_Sami-Giellagas,rel-pos,xlm-roberta-base,False,False,multi,6.75,3.1,2.76,0.0,0.0,38.56,nan,15.21,nan,nan,31.13
UD_Welsh-CCG,rel-pos,bert-base-multilingual-cased,True,False,single,60.14,42.45,28.77,1.22,0.0,78.36,50.72,nan,nan,nan,nan
UD_Welsh-CCG,rel-pos,xlm-roberta-base,True,True,single,48.23,27.04,16.63,0.74,0.0,63.89,38.85,nan,nan,nan,nan
UD_Welsh-CCG,rel-pos,xlm-roberta-base,True,True,multi,45.99,24.35,15.08,0.5,0.0,63.55,nan,54.14,nan,nan,48.29
UD_Welsh-CCG,rel-pos,bert-base-multilingual-cased,True,False,multi,62.26,43.25,28.22,1.09,0.0,78.42,nan,62.13,nan,nan,64.5
UD_Welsh-CCG,rel-pos,xlm-roberta-base,True,False,single,55.1,31.05,18.43,0.15,0.0,67.0,38.97,nan,nan,nan,nan
UD_Bulgarian-BTB,rel-pos,bert-base-multilingual-cased,True,True,single,32.5,23.79,14.92,0.23,0.0,71.1,46.89,nan,nan,nan,nan
UD_Bulgarian-BTB,rel-pos,bert-base-multilingual-cased,True,True,multi,30.41,21.75,11.75,0.2,0.0,71.11,nan,48.76,nan,nan,61.54
UD_Welsh-CCG,rel-pos,xlm-roberta-base,True,False,multi,56.18,32.13,19.74,0.25,0.0,67.33,nan,54.18,nan,nan,51.96
UD_Bulgarian-BTB,rel-pos,bert-base-multilingual-cased,True,False,single,74.46,67.58,60.52,0.91,0.0,96.27,71.73,nan,nan,nan,nan
UD_Bulgarian-BTB,rel-pos,xlm-roberta-base,True,True,single,32.82,24.21,15.54,0.21,0.0,70.62,46.89,nan,nan,nan,nan
UD_Bulgarian-BTB,rel-pos,bert-base-multilingual-cased,True,False,multi,72.63,64.05,56.66,0.73,0.0,96.33,nan,74.08,nan,nan,83.48
UD_Bulgarian-BTB,rel-pos,xlm-roberta-base,True,True,multi,30.24,21.6,11.72,0.16,0.0,70.71,nan,48.76,nan,nan,61.33
UD_Bulgarian-BTB,rel-pos,xlm-roberta-base,True,False,single,67.94,59.98,53.49,0.6,0.0,96.7,64.46,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,rel-pos,bert-base-multilingual-cased,False,True,single,22.69,14.72,6.89,0.79,0.0,60.43,31.25,nan,nan,nan,nan
UD_Bulgarian-BTB,rel-pos,xlm-roberta-base,True,False,multi,69.63,59.06,53.0,0.48,0.0,96.7,nan,69.51,nan,nan,80.8
UD_Ancient_Greek-Perseus,rel-pos,bert-base-multilingual-cased,False,True,multi,22.32,13.62,6.46,0.6,0.0,60.41,nan,38.95,nan,nan,51.99
UD_Ancient_Greek-Perseus,rel-pos,bert-base-multilingual-cased,False,False,single,34.67,25.03,16.01,1.43,0.0,71.52,38.37,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,rel-pos,xlm-roberta-base,False,True,single,26.22,17.52,8.4,1.11,0.0,63.25,31.77,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,rel-pos,bert-base-multilingual-cased,False,False,multi,36.18,24.29,15.7,1.39,0.0,71.56,nan,46.58,nan,nan,61.61
UD_Ancient_Greek-Perseus,rel-pos,xlm-roberta-base,False,True,multi,25.9,16.25,7.94,0.96,0.0,63.29,nan,39.18,nan,nan,53.98
UD_Armenian-ArmTDP,rel-pos,bert-base-multilingual-cased,True,True,single,26.11,13.12,10.99,0.36,0.0,63.16,32.58,nan,nan,nan,nan
UD_Armenian-ArmTDP,rel-pos,bert-base-multilingual-cased,True,True,multi,23.79,10.82,7.58,0.34,0.0,63.11,nan,40.18,nan,nan,49.81
UD_Ancient_Greek-Perseus,rel-pos,xlm-roberta-base,False,False,single,38.6,28.39,19.42,2.17,0.0,78.34,39.29,nan,nan,nan,nan
UD_Armenian-ArmTDP,rel-pos,xlm-roberta-base,True,True,single,25.96,14.44,11.93,0.33,0.0,62.37,33.62,nan,nan,nan,nan
UD_Armenian-ArmTDP,rel-pos,xlm-roberta-base,True,True,multi,22.94,11.98,9.03,0.25,0.0,62.44,nan,40.56,nan,nan,51.26
UD_Armenian-ArmTDP,rel-pos,bert-base-multilingual-cased,True,False,single,51.41,40.5,32.31,2.79,0.0,86.21,49.91,nan,nan,nan,nan
UD_Ancient_Greek-Perseus,rel-pos,xlm-roberta-base,False,False,multi,41.37,28.46,20.23,2.21,0.0,78.34,nan,47.4,nan,nan,65.26
UD_Turkish-BOUN,rel-pos,bert-base-multilingual-cased,True,True,single,25.02,16.07,9.55,1.67,0.0,68.46,36.73,nan,nan,nan,nan
UD_Armenian-ArmTDP,rel-pos,bert-base-multilingual-cased,True,False,multi,51.92,38.97,31.71,2.95,0.0,86.35,nan,58.21,nan,nan,70.24
UD_Turkish-BOUN,rel-pos,bert-base-multilingual-cased,True,True,multi,30.04,17.35,10.75,1.58,0.0,68.18,nan,44.67,nan,nan,52.74
