Treebank,Encoding,Language Model,Finetuned,Pretrained,UAS,LAS,CLAS,MLAS,BLEX,
UD_Ligurian-GLT,2-planar-brackets-greedy,bert-base-multilingual-cased,finetuned,pretrained,34.74,28.36,11.43,1.71,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,pretrained,11.18,7.15,3.6,0.87,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,not_pretrained,8.49,2.93,5.08,0.85,0.0,
UD_Ligurian-GLT,rel-pos,bert-base-multilingual-cased,finetuned,pretrained,60.03,46.45,31.93,6.15,0.0,
UD_Ligurian-GLT,rel-pos,bert-base-multilingual-cased,not_finetuned,pretrained,40.5,31.67,17.09,5.89,0.0,
UD_Ligurian-GLT,rel-pos,bert-base-multilingual-cased,not_finetuned,not_pretrained,30.52,22.41,11.3,5.45,0.0,
UD_Ligurian-GLT,arc-hybrid,bert-base-multilingual-cased,finetuned,pretrained,25.86,18.09,4.07,0.09,0.0,
UD_Ligurian-GLT,arc-hybrid,bert-base-multilingual-cased,not_finetuned,pretrained,30.81,21.69,7.88,1.04,0.0,
UD_Ligurian-GLT,arc-hybrid,bert-base-multilingual-cased,not_finetuned,not_pretrained,18.62,12.14,3.17,0.23,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,xlm-roberta-base,finetuned,pretrained,30.09,24.66,7.52,0.5,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,pretrained,6.0,1.63,1.64,0.14,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,not_pretrained,9.21,3.84,5.59,1.36,0.0,
UD_Ligurian-GLT,rel-pos,xlm-roberta-base,finetuned,pretrained,56.86,40.4,22.79,3.46,0.0,
UD_Ligurian-GLT,rel-pos,xlm-roberta-base,not_finetuned,pretrained,21.45,12.19,4.57,2.36,0.0,
UD_Ligurian-GLT,rel-pos,xlm-roberta-base,not_finetuned,not_pretrained,28.26,21.31,10.43,5.63,0.0,
UD_Ligurian-GLT,arc-hybrid,xlm-roberta-base,finetuned,pretrained,21.98,14.25,2.88,0.0,0.0,
UD_Ligurian-GLT,arc-hybrid,xlm-roberta-base,not_finetuned,pretrained,14.16,9.84,2.22,0.39,0.0,
UD_Ligurian-GLT,arc-hybrid,xlm-roberta-base,not_finetuned,not_pretrained,22.74,14.59,4.48,0.45,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,google/canine-c,finetuned,pretrained,2.16,0.48,1.64,0.0,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,google/canine-c,not_finetuned,pretrained,10.22,3.6,2.31,0.12,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,google/canine-c,not_finetuned,not_pretrained,8.93,4.37,5.45,0.43,0.0,
UD_Ligurian-GLT,rel-pos,google/canine-c,finetuned,pretrained,23.75,10.89,1.64,0.0,0.0,
